ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name,Family_ID
Cojubim,Cojubim,,-11.75,-64,kuyu1236,,,Kuyubi,chap1271
Jaru,Jaru,,-10.25,-62,yaru1257,,,Yaru,chap1271
Kitemoka,Kitemoka,,-16,-62.75,kite1237,,,Kitemoka,chap1271
More,More,,-12.2994,-64.9841,iten1243,,,Itene,chap1271
OroWin,OroWin,,-10.737,-64.0299,orow1243,,,Oro Win,chap1271
Tapakura,Tapakura,,-14.8,-62.2,chap1269,,,Chapakura,chap1271
Tora,Tora,,-6.19532,-61.7416,tora1263,,,Torá,chap1271
Urupa,Urupa,,-10.25,-62.75,urup1245,,,Urupa,chap1271
Wanyam,Wanyam,,-12.1,-63.1,wany1246,,,Wanyam,chap1271
Wari,Wari,,-10.69948,-64.56152,wari1268,,,Wari',chap1271
